ID,工单编号,行业分类1级,行业分类2级,行业分类3级,行业分类4级,诉求内容,原处置单位,处置单位,单位类别
20,20180102122014,环境保护,污染,噪音污染,机械噪音,"秀英区环保来电咨询:（工单编号：20180101121984）《关于秀英区西秀镇祥堂村搅拌站内发电机产生噪音扰民的问题》具体地址
工单内容
市民来电反映:秀英区西秀镇祥堂村搅拌站内发电机产生噪音扰民，望有关部门进行处理。请秀英区政府核实处理！（请职能局按规定在30分钟内核实处理，响应处置）",秀英区生态环境保护局,生态环境保护局,1
25,20180102125119,交通港口,出租车,物品遗失,其他,市民来电反映: 其于2018年1月2日9:15在文华路9号天龙阁乘坐出租车（琼A41976），于9:24在秀华路50号秀英小街下车，期间在该车的后座上遗落一部苹果手机，请交通局核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）,市交通运输和港航管理局,交通运输和港航管理局,1
28,20180101115623,其他,其他,其他,其他,"市民来电咨询: 工单号20171231107425《关于龙华区滨濂村北社区3里138号有人强闯市民家的问题》工单内容
工单内容：
市民来电反映:其是龙华区滨濂村北社区3里138号海瑞学校后面居民，刚刚因有人拿刀到其家内将门砸坏，破坏楼顶结构，报警到海垦派出所，其刚从派出所回到家发现闹事的人还在，请公安局核实处理，谢谢！（请职能局按规定在30分钟内联系市民，响应处置）   
2017-12-27 市公安局答复：海垦所民警林纪成、王学军于2017年12月27日0时26分出警到场，经了解，因徐鸣盛2012年私下向滨濂村村民吴清丽父亲吴春盛购买了60平方的土地，2016年双方以吴春盛三个女儿报建并建起了一栋4层楼房，现因徐鸣盛没办理相关手续，吴清丽一家反悔不给徐鸣盛入住自己所建的房子，吴清丽想把徐鸣盛一家赶出去，便不停的报警和拨打12345热线，想借助派出所把徐鸣盛一家赶走，这是一起复杂的民事纠纷，鉴于事情复杂性，已建议双方保持冷静，并通过司法程序解决，已致电12345反馈。
（工单编号20171227039305）
市民再次来电反映：目前该市民又在其房子强行砸墙，对其造成很大的人身安全隐患，其表示报警后派出所的工作人员让其自行进房间与该市民对峙，希望相关人员能够到现场处理，请公安部门核实处理！（30分钟办件）
2017-12-30 市公安局答复：海垦所民警侯德铭、林纪成出警到场，经了解是因土地存在争议，是一起民事纠纷案件，已建议双方冷静后到法院处理，公安机关不会有告知对方去砸墙的行为。工单号（20171230102052）
市民再次来电反映：该问题还未解决，该市民依然强行砸墙，其认为不合理！请公安部门核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置） ",市公安局,公安局,3
29,20180103141390,绿化市容,城市管理,无证夜间施工,超时施工,市民来电咨询: 面前坡拆迁工地超时施工，其想咨询超时施工的时间段及相关条文规定？请具体告知是什么条文规定的超时施工时间段。请职能局核实处理。（请职能局按规定在30分钟内联系市民，响应处置）   ,龙华区城管局,城市管理行政执法局,2
30,20180103138510,城管问题,街面秩序,机动车违停,移车,市民来电反映: 在凤翔东路府城镇委站有一辆黑色尼桑挡住其出口车牌号：琼Avs021，请交警部门核实处理!(30分钟到场处置),市公安局交通警察支队,公安局交通警察支队,3
34,20180102133334,公安（治安、交通）,其他,其他,其他,市民来电反映:其是滴滴车司机，保税区内的一家滴滴公司要求其购买全保，交钱公司帮其办理证件。当时滴滴公司告知其一边跑车一边考取已约滴滴许可证，但是现在交通局需要两证齐全才能出行，其认为不合理。请交通局核实处理。（请职能局按规定在30分钟内核实处理，响应处置） ,市交通运输和港航管理局,交通运输和港航管理局,1
37,20180102123237,公安（治安、交通）,交通管理,车辆年检,车辆年检,市民来电咨询:机动车年检地址的问题。,市公安局交通警察支队,公安局交通警察支队,3
38,20180102123120,公安（治安、交通）,社会治安,立案侦查,盗窃刑事案件,市民来电反映:海港市场站到汽车西站站公交车站路段每辆公交车上几乎都有扒手在车上实施盗窃，有建议安排便衣民警从西秀海滩站乘坐公交车经过海口港站去往西站途中进行观察。请市公安局核实处理！,市公安局,公安局,3
40,20180102125216,其他,其他,其他,其他,市民来电咨询:不动产电话号码的问题。,市国土资源局,国土资源局,2
41,20180102122830,其他,其他,其他,其他,市民网站反映：美兰区灵山镇用楠村村长颜某在自家附近养了几十头猪，地点在用楠村和道孟村接壤处，道孟村墓地东南侧200米，平时污水随意排放，臭气熏天，蚊虫泛滥，污染了地下水，严重影响了附近村民的正常生活2017年9月中央环保督察期间我多次向灵山镇政府，美兰区环保局，城管部门反映该问题，但一直没解决，上述部门未采取有效措施关闭养猪场，无所作为，不排除执法人员收受好处费受贿行为，更过分的是上述部门欺骗12345政府热线宣称问题已经解决，其实各相关单位部门一直都没有来到现场，影响党和政府在老百姓心中的形象，希望12345热线这次能跟踪这个问题，防止上述部门又继续懒政无作为，落实绿水青山环保理念。请美兰区政府核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,美兰区灵山镇人民政府,人民政府,3
44,20180103146334,交通港口,出租车,黑车,黑车非法营运,市民来电反映:其是滴滴车司机，保税区内的一家滴滴公司要求其购买全保，交钱公司帮其办理证件。当时滴滴公司告知其一边跑车一边考取已约滴滴许可证，但是现在交通局需要两证齐全才能出行，其认为不合理。请交通局核实处理。（请职能局按规定在30分钟内核实处理，响应处置） ,市交通运输和港航管理局,交通运输和港航管理局,1
48,20180103146692,“12345”热线,传真信息,信息咨询,信息咨询,市民来电咨询: 其是新疆人到海口居住，收到新疆地区来电告知其要更换第三代身份证要求其必须马上发送身份信息编辑短信发送到制定号码。,市公安局,公安局,3
50,20180102124365,司法行政,其他,其他,其他,市民来电咨询：美兰区食药监电话号码的问题。,美兰区政府服务中心,政府服务中心,2
53,20180102123668,司法行政,其他,其他,其他,"市民来电反映:美兰区大昌村委会道北村村民小组互相勾结，在征地赔款中村民小组被没有按照规定把征地款播入集体账号，而且直接随意把款项分发给农户，其觉得不合理。请美兰区政府核实处理！(请职能局按规定在30分钟内联系市民，响应处置)
2017-12-25 美兰区灵山镇人民政府答复：该办件我办已多次作出答复：据项目工作组人员反映，当时该土地款拨付是由村民集体讨论通过并进行公示，然后委托征地办进行拨付，手续符合规定。建议其走法律程序维护自身权益。（政府工单号：20171224002275）
市民再次来电反映：当时该土地款拨付村民集体讨论时，该村并没有通知其，使其没有享有应得的征地款。请美兰区政府核实处理！(请职能局按规定在30分钟内联系市民，响应处置)",美兰区政府服务中心,政府服务中心,2
59,20180103138749,公安（治安、交通）,其他,其他,其他,市民来电反映: 交通局运证部门穿便服在码头，公路上，随处查处网约车，咨询是否通过相关部门同意后才查处，请交通局核实处理，（请职能局按规定在30分钟内联系市民，响应处置）,市交通运输和港航管理局,交通运输和港航管理局,1
60,20180101120786,公安（治安、交通）,出境入境,港澳通行证,港澳通行证,市民来电咨询: 海南省公安厅出入境管理局，此单办结。,市公安局,公安局,3
61,20180102131935,部件,道路交通,小车停车场,管理,市民来电反映: 龙华区城西学院路有一辆皮卡车（车牌号：不详）挡住了人行道。,市公安局交通警察支队,公安局交通警察支队,3
63,20180102134824,城管问题,扩展事件,夜间排挡摊点,占道经营,"琼山区城管来电咨询：工单编号20180102134751《关于琼山区海府路靠近省委党校处有人占道经营产生噪音扰民的问题》工单内容。
工单内容：
市民来电反映: 在琼山区海府路靠近省委党校处有人占道经营产生噪音扰民，请市城管局核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处置）",市数字城管专席,数字城管专席,1
64,20180103135039,公安（治安、交通）,社会噪声,人为噪音,大声喧哗,市民来电反映: 琼山区勋亭路口杨香老鸭汤大排档正在营业，客人大声喧哗，影响附近居民休息，请公安局核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）,市公安局,公安局,3
65,20180102124713,城管问题,扩展事件,旅客投诉,公交车,市民来电反映: 其于1月2日10:05左右在文化大酒店站乘坐28路公交车，一10:10在大润发国贸店站下车，其是两个人乘坐公交车，司机让其共交4元，其认为只有三站路，该公交车收费不合理。请公交集团核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,海口市公共交通集团有限公司,公共交通集团有限公司,4
68,20180102124954,“12345”热线,传真信息,信息咨询,信息咨询,市民来电反映: 驾驶证更换的问题。,市公安局交通警察支队,公安局交通警察支队,3
70,20180102124778,人力保障,社保信息,社保卡,使用,市民来电咨询: 外省的医疗卡是否可以在海口使用，什么时候可以使用？请社保局核实处理，谢谢(请职能局按照规定30分钟内联系市民，响应处置！),市社会保险事业局,社会保险事业局,1
73,20180101118681,城管问题,扩展事件,噪音,播放高音喇叭,市民来电反映: 美兰区明珠广场前面的天桥上有人播放高音喇叭噪音扰民，请城管核实处理！（请职能局按规定在30分钟内核实处理，响应处置）,美兰区城管局,城市管理行政执法局,2
80,20180102124495,公安（治安、交通）,交通管理,交通设施,交警指挥,市民来电咨询: 龙华大队交通管理服务站地址及电话号码的问题。,市公安局交通警察支队,公安局交通警察支队,3
81,20180102124468,工商(消保),其他,其他,其他,"市民来电反映:其于在美兰区国兴大润发地下停车场嘉泰龙洗车行办理洗车卡，但是洗车行却关门不予退款，请工商局核实处理。
（请职能局按规定在30分钟内联系市民，响应处置）",海口工商局,工商局,0
84,20180101119463,住房保障,物业服务管理,其他,其他,"市民来电反映: 龙华区南海大道28号四季华庭一期4C五楼每户业主的门口楼顶渗水严重，多次跟物业反映，物业未处理，故来电反映，请龙华区政府核实处理,谢谢！（请职能局按规定在30分钟内联系市民，响应处置）",龙华区城西镇政府,人民政府,3
90,20180101117458,住房保障,其他,其他,其他,市民来电反映: 其在琼山区龙昆南路购买一套房子美丽华居小区，其表示开发商海南贵亨置地有限公司告知只能用商业贷款，不能使用公积金贷款，其认为不合理，请住建局核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处置）,市住房和城乡建设局,住房和城乡建设局,1
95,20180103138509,住房保障,其他,其他,其他,"市民来电反映: 其于2015年通过电视节目向海口市住房和城乡建设局反映衍宏物业管理有线公司的问题，当时该局告知其玻璃爆裂的问题应由该物业公司使用维修基金进行赔偿，节目后该局也将处理决定通知到该物业公司，市民也按照该物业公司要求将安装玻璃的询价单和报价单及开具的增值税发票交往该公司负责人，但该公司至今未将费用支付给市民。请住建局核实处理，谢谢！（请住建局按规定在30分钟内联系市民，响应处置）
于2017-12-26 11:01:35市住房和城乡建设局反馈：接到投诉后，12月25日早上分别联系业主和衍宏物业公司林经理了解核实情况。该小区建成后，所有房屋主阳台使用整块落地玻璃封闭，2015年投诉人许先生家阳台的玻璃破碎，经联系物业公司，物业公司答应许先生由其自行修复，待物业公司申请住宅专项维修资金后再补偿许先生。我局人员向业主许先生详细解释了维修资金使用范围和程序等相关政策，许先生表示理解和同意，同时要求物业公司和许先生协商解决。（工单号：20171224007426）
市民来电反映: 该问题还未解决，物业一直在推诿，住建局也未有处理结果，其认为不合理，请市住建局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）。
",市住房和城乡建设局,住房和城乡建设局,1
98,20180103146949,城管问题,扩展事件,噪音,播放高音喇叭,市民来电反映: 琼山区朱云公寓附近三角池公园广场舞播放高音喇叭噪音扰民，请城管局核实处理！（30分钟办件）,琼山区城市管理行政执法局,城市管理行政执法局,2
99,20180101119019,其他,其他,其他,其他,市民来电咨询：海口市工商局电话。,海口工商局,工商局,0
100,20180103136496,城管问题,扩展事件,噪音,播放高音喇叭,市民来电反映:琼山区兴丹路上丹小区知行幼儿园喇叭噪音扰民，请区政府核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处置）,琼山区教育局,教育局,0
102,20180102128660,其他,其他,其他,其他,市民来电反映: 其购买的180元城镇医疗是否可以报销3甲医院的门诊拍的CP片子，如何报销？请社保局核实处理，（请职能局按规定在30分钟内联系市民，响应处置）,市社会保险事业局,社会保险事业局,1
108,20180101118282,城管问题,扩展事件,噪音,工地施工噪音,"市民来电反映:龙华区山高路山高村468号旁边的居民房每天中午超时施工产生噪音扰民，严重影响市民的正常生活。请城管部门核实处理！
（请职能局在规定30分钟内联系市民，响应处置）",龙华区城管局,城市管理行政执法局,2
110,20180101119320,公安（治安、交通）,其他,其他,其他,"市民来电反映: 其于12月30日下午来到美兰区海甸岛人民大道四东路景业广场三楼圣力健身房内健身，于17:40分结束健身时却发现其的鞋子不见了，其向圣力健身房的工作人员反映需要调取监控时，被该处的人员拒绝调取录像，当时已经报警，但其也被民警拒绝处理，故此来电，请市公安局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）
",市公安局,公安局,3
112,20180102128160,工商(消保),其他,其他,其他,"市民来电反映: 其在南海大道长城汽车店购买汽车，其已全部办理购车的业务，但在交车是，商家以其购置税未缴齐全，不给其提车，其认为不合理，请市工商局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）。
",海口工商局,工商局,0
114,20180103145487,纪检监察,政风行风,不作为,不作为,市民来电反映: 其于2017年12月28日到龙华交警大队事故中心报道路交通案（案件号：1964），（办案民警：王吉明、警号：010623），当时交警未查看监控录像，随意下了同等责任，其认为不合理，故来电投诉交警不作为，请市公安局交通警察支队核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,市公安局交通警察支队,公安局交通警察支队,3
115,20180102133498,其他,其他,其他,其他,市民来电反映: 美兰区大致坡中心小学小门口旁边小卖部有人售卖刮刮奖套取小学生的钱，其认为不合理，请美兰区政府核实处理。（请职能局按规定在30分钟内核实处理，响应处置）,美兰区教育局,教育局,0
116,20180102133570,其他,其他,其他,其他,市民来电反映: 其狗于2017年12月1日走失后被龙华区海垦路海南省残疾人假肢康复中心对面的的玛利雅宠物诊所捡到，现该宠物店威胁其给2000元才可以领回其的狗，故其认为不合理。请市公安局核实处理。（请职能局按规定在30分钟内核实处理，响应处置） ,市公安局,公安局,3
122,20180103138590,部件,公共设施,通讯交接箱,移动公司,市民来电反映:微信充值话费未到账的问题,中国移动海南分公司,中国移动,4
132,20180102130328,住房保障,市场交易管理,房产信息变更,申请,市民公众号咨询：老的房产证丢失，土地证还在，怎么办理新的不动产证？需要准备哪些资料走什么流程？请国土局核实处理，谢谢！（请职能局按规定在30分钟内联系市民，响应处置） ,市国土资源局,国土资源局,2
139,20180102124123,“12345”热线,12345热线,信息咨询,信息咨询,市民来电咨询：市政务中心质监局窗口电话号码的问题,市政务中心,市政务中心,2
140,20180103145667,城管问题,扩展事件,旅客投诉,公交车,市民来电反映: 其于7点45分乘坐47路公交车前往龙桥，车牌号56923车辆的乘务员服务态度不好，故来电投诉，请公交集团核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）,海口市公共交通集团有限公司,公共交通集团有限公司,4
143,20180101119209,发展改革,价格调控,市场物价,市场物价,市民来电反映: 其于2017年12月30日9:00左右在秀英区东方洋路东方洋大厦机动车停车场停车，标价牌注明过夜车辆5元/夜，1月1日15:53左右取车，物业要求收取26元，其认为不合理，请区政府核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,秀英区物价局,物价监督局,1
144,20180101119366,住房保障,其他,其他,其他,市民微信反映: 其是秀英区长流镇海岸赛拉维小区一期业主，于2013年交房至今开发商迟迟未开通门禁系统给予业主使用，其认为不合理，请市住房和城乡建设局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,市住房和城乡建设局,住房和城乡建设局,1
146,20180102127029,人力保障,劳动保护,拖欠工资,拖欠工资,市民来电反映: 老板拖欠工人工资的问题,市人力资源和社会保障局,人力资源和社会保障局,1
147,20180102127024,交通港口,出租车,物品遗失,其他,"市民来电反映: 其于2018年1月2日10:30在海口市和平桥市中医院乘坐出租车（记不清车牌号 工牌编码：10028）于11:00在琼山侨中门口下车，在后座遗失手机，请交通局核实处理！谢谢！（请30分钟响应处置）               
",市交通运输和港航管理局,交通运输和港航管理局,1
149,20180103142425,住房保障,其他,其他,其他,市民来电咨询: 龙华区城西镇恒大·海口文化旅游城三期验收进度，请住建局核实处理！谢谢！（请职能局按规定在30分钟内核实处理，响应处置）,市住房和城乡建设局,住房和城乡建设局,1
150,20180103145619,食品药品安全,安全管理,药品安全,零售药品,市民来电反映: 其于2018年1月3日在美兰区灵山镇鸿春堂药店购买左甲状腺素纳片，已提供小灰门诊（门诊名称没确定）医师开具的处方单店家告知电脑无法通过审核不予出售，故来电投诉。,美兰区政府服务中心,政府服务中心,2
155,20180103140096,交通港口,出租车,服务规范,绕道,市民来电反映: 其于2018年1月3日11:35左右在海口站乘坐车牌号为琼A41994出租车，准备前往海口东站，目前车已经行驶至龙昆南路，已经显示80多元。其认为不合理。,市交通运输和港航管理局,交通运输和港航管理局,1
158,20180101119415,城管问题,突发事件,群发性事件,开发商合同纠纷,市民来电反映: 其2015年购买龙华区南海大道世纪华庭三期阳光华府一套房，开发商合同显示2018年1月1日交房，开发商表示不管是否收房物业管理费用都必须1月份开始收取，并且当初购买时开发商给业主查看的样板房时入户花园的阳台是封闭的，但现在开发商却表示该阳台不可进行封闭，阳台与房屋只有一墙之隔如不封闭将会存在安全隐患，其认为必须封闭。请龙华区政府核实处理 （请职能局按规定在30分钟内联系市民，响应处置） ,市住房和城乡建设局,住房和城乡建设局,1
159,20180101119508,发展改革,价格调控,市场物价,市场物价,市民来电反映: 其2015年购买龙华区南海大道世纪华庭三期阳光华府一套房，开发商提供的地下车库收取费用为450元一个月该价格是否有报批？依据是什么？是否符合海南经济标准？请龙华区政府核实处理（请职能局按规定在30分钟内联系市民，响应处置） ,龙华区物价监督检查局,物价监督检查局,2
160,20180102132755,城管问题,扩展事件,旅客投诉,公交车,市民来电反映: 其1月2日18:30左右在置地花园站等待72路公交车，其记得的车牌号应该是琼A56942，司机在置地花园站并未停车，其又追着公车到下一个站人大会堂站，因有人下车司机有停车但是看到其准备上车又将车开走，故来电投诉，请公交集团核实处理，谢谢。（请职能局按规定在30分钟内核实处理，响应处置）,海口市公共交通集团有限公司,公共交通集团有限公司,4
163,20180103140141,交通港口,公交巴士,线路设置,调整,市民来电建议: 其每次从狮子岭乘坐24路公交车前往海甸岛，每次都从厂区通过，且无人在该处下车，导致绕了十分钟，故来电建议取消厂区线路，节省时间，请交通局核实处理！请职能局在三十分钟内联系市民吗，响应处置,市交通运输和港航管理局,交通运输和港航管理局,1
164,20180103137330,公安（治安、交通）,其他,其他,其他,市民来电咨询:生态环境保护局办理车辆报废的地址,海口市生态环境保护局,生态环境保护局,1
165,20180103142653,其他,其他,其他,其他,市民来电反映: 咨询20180103140123该办件市民电话,中国移动海南分公司,中国移动,4
170,20180102130655,公安（治安、交通）,交通管理,交通设施,交警指挥,市民来电咨询:电动车上牌时间错过的问题，请职能局给予核实回复！ ,市公安局交通警察支队,公安局交通警察支队,3
172,20180102133762,城管问题,市容环境,污水溢流,排污管道,市民来电反映: 其是海口长丰水务有限公司的员工，其表示在桂林洋开发区桂高二横路泉溢食品有限公司违法排放污水，请海口桂林洋经济开发区核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）,海口桂林洋经济开发区,经济开发区,4
176,20180102128207,民政,生活保障,流浪救助,流浪救助,"市民来电反映:美兰区群上路美嘉超时后面有个人躺在该处，希望相关部门给予救助。请美兰区核实处理，谢谢！（请职能局按规定在30分钟内联系市民，响应处置）  
  ",美兰区民政局,民政局,0
177,20180102130768,工商(消保),违法经营,不正当经营,不正当经营,市民来电反映: 环保局要求4S店的机油危险废物需交予有资质的公司处理并签订合同，其于12月27日与龙华区金贸中路1号半山花园海天阁3028房（海南宝来工贸有限公司）沟通签合同事宜，按国家统一规定正常收费为4元/公斤，但该公司却强制要求如签订合同还需收取6000元技术服务费，其认为该公司存在强买强卖行为。请工商局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,海口工商局,工商局,0
180,20180103143489,交通港口,出租车,物品遗失,其他,市民来电反映: 其于2018年1月3日14：20在美兰机场出租车通道乘坐出租车（记不清车牌号）于14:50秀英区金沙湾小区门口下车，遗失一部手机，请交通局核实处理！谢谢！（请30分钟响应处置） ,市交通运输和港航管理局,交通运输和港航管理局,1
181,20180102125347,公安（治安、交通）,交通管理,交通设施,交警指挥,市民微信咨询：椰海大道电动车上牌点联系电话的问题。,市公安局交通警察支队,公安局交通警察支队,3
183,20180102129580,卫生计生,医院监管,医疗纠纷,医疗纠纷,"市民来电反映: 其于2017年12月14日美兰区蓝天西路15号曙光医院就医包皮过长的手术，其于2018年1月1日离开医院，其表示每天治疗费用大约2000元人民币，其于1月2日到秀英区海南省人民医院检查，医生说恢复正常，不需要去医院，但是曙光医院就一直催促其就医，其认为不合理，故此来电投诉曙光医院忽悠病者，请市卫生局核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）
",市卫生局,卫生局,0
187,20180101119013,卫生计生,其他,其他,其他,市民来电反映: 其之前到秀英区农村医疗合作办公室办理慢性病证，12月22日已经发证，但是1月1日到海口市第三人民医院拿药时，工作人员告知该证有问题，无法正常拿药，故来电咨询是什么问题，请秀英区政府核实处理。（请职能局按规定在30分钟内联系市民，响应处置。） ,秀英区卫生局,卫生局,0
189,20180102133659,司法行政,其他,其他,其他,"市民来电咨询: 工单号（20180102132684）《关于龙华区金龙路友谊阳光城门口的划线电动车停车位有人在此乱收电动车停车费的问题》工单处理情况。
工单内容：
市民来电反映:龙华区金龙路友谊阳光城门口的划线电动车停车位，有人在此乱收电动车停车费，请龙华区政府核实处理，（请职能局按规定在30分钟内联系市民，响应处置）",龙华区政府服务中心,政府服务中心,2
191,20180103140019,公安（治安、交通）,交通管理,交通法规,车辆违章,市民来电咨询: 交违章罚款的地址？,市公安局交通警察支队,公安局交通警察支队,3
194,20180103144345,公安（治安、交通）,其他,其他,其他,"市民来电咨询: 其于12月19日在海口坡博村派出所办理居住证，至今未办理成功的问题。
",市公安局,公安局,3
197,20180102129801,公安（治安、交通）,其他,其他,其他,"市民来电咨询:政府工单号20171219939938《关于建议长信路好百年左拐的观海台处安装红绿灯的问题》工单处理情况
工单内容：
市民来电建议: 秀英区滨海大道189号长信路好百年左拐的观海台处，由于周边学生比较多，车流量大，已划斑马线建议安装红绿灯方便出行。请交警部门核实处理！（请职能局按规定在30分钟内联系市民，响应处置）",市公安局交通警察支队,公安局交通警察支队,3
198,20180102131156,其他,其他,其他,其他,市民来电咨询: 现在随手拍是否还有奖励，拍了一两年，至今没有奖励，如果没有希望出台，请交警核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,市公安局交通警察支队,公安局交通警察支队,3
199,20180103137608,公安（治安、交通）,交通管理,交通法规,车辆违章,市民来电咨询：缴纳违章罚款的软件？,市公安局交通警察支队,公安局交通警察支队,3
200,20180103143514,城管问题,扩展事件,夜间排挡摊点,占道经营,市民来电反映:海口市龙华区东沙路门窗厂小区老爸茶店占道经营，有损城市双创形象，认为不合理，希望城管部门能够整顿处理该处。请城管部门核实处理。（请职能局按规定在30分钟内联系市民，响应处置）,龙华区城管局,城市管理行政执法局,2
203,20180102131255,公安（治安、交通）,社会治安,居住证,居住证,"白龙派出所来电咨询：（工单号20180102130508）《关于咨询原办理的居住证是否可以注销重新办理的问题》
工单内容：
市民微信咨询:其现居住在美兰区敬贤路滨江新苑，其已办理居住证，但现需搬离地址，原办理的居住证是否可以注销重新办理？请市公安局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）",市公安局,公安局,3
204,20180102131097,司法行政,其他,其他,其他,市民来电反映: 其于2017年12月21日在滨海大道市政府服务中心9号窗口办理海南名城房地产有限公司的三证合一业务，但是该窗口工作人员告知其稍后会有通知其过来拿证，但是至今也没有消息。其想知道该办件的处理进展，请工商局核实处置，谢谢。（请职能局按规定在30分钟内核实处理，响应处置）,海口工商局,工商局,0
205,20180102133979,档案,个人档案,个人档案,个人档案,市民来电咨询：大学生档案转回的海口的问题,市人力资源和社会保障局,人力资源和社会保障局,1
208,20180103143194,人力保障,社保信息,退休证,申请办理,市民来电咨询:其1983年在灵山镇国营南江机械厂工作，至今有34年工龄，查询到相关信息有30年工龄可以提前5年退休，请人社局核实处理（请职能局按规定在30分钟内联系市民，响应处置）   ,市人力资源和社会保障局,人力资源和社会保障局,1
210,20180104148183,部件,公共设施,电话亭,占用公共面积,市民微信反映:其是琼山区府城镇靖南街23号的住户，现其与邻居存在土地纠纷，其邻居盖房已经占用到公共通道。请琼山区核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处置）,琼山区政府服务中心,政府服务中心,2
